Title,Votes
Soul,10651
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),10353
Tenet,10094
Sonic the Hedgehog,9803
365 Days,9110
Wonder Woman 1984,8536
Bad Boys for Life,8356
Mulan,6734
Onward,6214
Extraction,6155
---,
365 Days,9110
Bad Boys for Life,8356
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),10353
Extraction,6155
Mulan,6734
Onward,6214
Sonic the Hedgehog,9803
Soul,10651
Tenet,10094
Wonder Woman 1984,8536
---,
365 Days,9110
Bad Boys for Life,8356
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),10353
Extraction,6155
Mulan,6734
Onward,6214
Sonic the Hedgehog,9803
Soul,10651
Tenet,10094
Wonder Woman 1984,8536
